name,recipie,category,image_name,image_ext,image_url
Тоник Ти Золотой Улун," Ингредиенты:  джус-боллы «Яблоко» – 30 г; кордиал C.O.D.E «Жасмин / Яблоко / Розовая Гуава» – 30 мл; тоник – 150 мл; заготовка чая «Улун» – 50 мл; лед – 150 г.  Метод приготовления:  в бокал добавить лед и поверх добавить джус-боллы; добавить кордиал и влить тоник; поверх тоника влить заготовку чая; украсить напиток веером из слайсов яблока и листом пищевого золота.  Украшения: веер из слайсов яблока, пищевое золото Емкость для подачи: Хайбол «Мод», Rona, 430 мл ",lemonade,1725212937_3210933.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/m4Fx27eww30hm0PgjhwWx5lGl3c=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F261%2Ftonic_tea_Golden_Oolong.png
Аэрокано Личи-белый Лотос," Ингредиенты:  эспрессо – 60 мл; сироп Pinch&Drop «Карамель» – 20 мл; кордиал C.O.D.E «Личи / Белый Лотос / Кардамон» – 30 мл; лед – 150 г.  Метод приготовления:  в питчере соединить все ингредиенты; форсункой кофемашины нагреть до +1 °С градуса (пока не уйдёт шум бьющегося льда); перелить в стакан; украсить чипсом апельсина и цветком фиалки; допускается украшать фиалкой только бокал.  Украшения: чипс апельсина, цветки фиалки Емкость для подачи: Хайбол «Стамбул», Pasabahce, 290 мл ",coffee,1725212938_232384.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/ky57H_v-dCHw_SE8B1kjiVQsVEo=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F261%2FAerocano_Lychee-White_Lotus.png
Айс-капучино Хмельной Маршмеллоу," Ингредиенты:  Drinksome «Шотландский виски» – 30 мл; молоко 3,2% – 160 мл; сироп Pinch&Drop «Попкорн» – 20 мл; эспрессо – 1 шот; лед – 110 г.  Метод приготовления:  в шейкер добавить лед и поверх влить молоко, сироп и Drinksome «Шотландский виски»; интенсивно взбить в течение 10-15 сек; перелить в высокий бокал вместе со льдом; поверх влить эспрессо; украсить маршмеллоу опаленный горелкой и карамельным топпингом.  Украшения: маршмеллоу, топпинг карамельный Емкость для подачи: Хайбол «Новеченто», Bormioli Rocco, 405 мл ",coffee,1725212939_2054975.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/p_QXKjzMCV9-vbJ2AmqWH_Vta0Q=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F261%2Ficed_cappuccino_Drunk_Marshmallow.png
Бамбл санрайз," Ингредиенты:  Сироп Pinch&Drop «Гренадин» – 10 мл; Сок апельсина (фреш) – 150 мл; Сироп Pinch&Drop «Кокос» – 10 мл; Сироп Pinch&Drop «Маракуйя» – 20 мл; Эспрессо – 60 мл; Лед – 150 г.  Метод приготовления:  Стакан наполнить льдом, на дно стакана влить сироп гренадин; Влить фреш апельсина и сиропы кокос и маракуйя; Поверх влить эспрессо, чтобы получилось три слоя; Украсить долькой апельсина.  Украшения: долька апельсина Емкость для подачи: бокал для коктейлей «Триумф», Triumph, 300 мл ",coffee,1725212940_2128737.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/2ApQhAMaHoq9NzQMEwPux78Jehc=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F261%2FBumble_Sunrise.png
Bitter-Sweet Highball," Ингредиенты:  Сироп Pinch&Drop «Фейхоа» – 10 мл; Вермут Бьянко – 30 мл; Биттер Сюз – 30 мл; Мескаль – 15 мл; Грейпфрутовая содовая – топ; Лед – сфера.  Метод приготовления:  Смешать все ингредиенты в охлажденном бокале; Добавить лед и перемешать; Украсить ментоловыми леденцами и вершками мяты.  Украшения: ментоловые леденцы, мята Емкость для подачи: Хайбол «Саваж», Nude, 350 мл ",alcohol,1725212941_2637193.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/aOkV4ZR-ebeeChiy4o0EbvHvuRs=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FBitter-Sweet_Highball.png
Asian n/a Spritz," Ингредиенты:  Сироп Pinch&Drop «Юдзу» – 15 мл; Сироп Pinch&Drop «Сладкая Клубника» – 5 мл; Кислая основа Pinch&Drop «Лимон» – 10 мл; Drinksome Japaneese Gin – 25 мл; Drinksome Игристое сухое – топ; Лед – алмаз/кубик.  Метод приготовления:  На внутреннюю поверхность охлажденного бокала нанести штрихи краской из глюкозы с помощью кисточки; Смешать все ингредиенты; Добавить лед и перемешать.  Украшения: краска из глюкозы Емкость для подачи: Бокал для вина «Эксэлтейшн», Chef&Sommelier, 580 мл ",lemonade,1725212942_3399036.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/0o8L2Lad3vhK-5kLQ3uz4sxS7iA=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FAsian_n_a_Spritz.png
Sunny Green Smoothie," Ингредиенты:  Сироп Pinch&Drop «Киви» – 10 мл; Пюре Pinch&Drop «Ананас» – 25 мл; Миндальное молоко – 120 мл; Греческий йогурт – 60 мл; Листья шпината – 10 шт; Замороженный банан – 2/3; Семена чиа – 1 барная ложка.  Метод приготовления:  Все ингредиенты взбить в блендере до получения однородной массы; Перелить в бокал и украсить.  Украшения: слайсы лайма Емкость для подачи: Бокал для коктейлей «Америка 20х», Bormioli Rocco, 275 мл ",smoothie,1725212943_2672305.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/unENWYZC0hzt0wpqtdDt7hbl8Kw=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FSunny_Green_Smoothie.png
Buterjly Year," Ингредиенты:  Сироп Pinch&Drop «Черная Смородина» – 5 мл; Кордиал С.O.D.Е «Черная смородина / Ананасовый экспресс / Лаванда» – 20 мл; Кислая основа Pinch&Drop «Лимон» – 10 мл; Розовый джин – 35 мл; Вермут Бьянко – 15 мл; Лед – сфера.  Метод приготовления:  Смешать все ингредиенты в смесительном бокале; Перелить в охлажденный бокал для подачи; Украсить съедобной бабочкой из вафельной бумаги, поместив ее на сферу льда.  Украшения: бабочка из вафельной бумаги Емкость для подачи: Шампанское-блюдце «Хэпберн», Nude, 195 мл ",alcohol,1725212945_24655.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/hgaSWLPACtHNlraUrfAgvLzT7qM=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FButterfly__Year.png
Фисташковый холодный раф," Ингредиенты:  Раф Essence «Молочный шоколад с фисташкой»: 20 г; Топпинг Pinch&Drop «Соленая карамель»: 20 мл; Молоко: 150 мл; Эспрессо: 1 порция (30 мл).  Метод приготовления:  Поместить ингредиенты в чашу блендера, смешать до однородной консистенции; Украсить внутренние стенки бокала топпингом Pinch&Drop Наполнить бокал кусковым льдом, перелить напиток в бокал и украсить.  Украшения: Топпинг Pinch&Drop «Соленая карамель», гарниш Essence «Грецкий орех», молотая соленая фисташка Емкость для подачи: Хайбол «Уэйн», Nude, хр.стекло, 360 мл ",coffee,1725212946_1927044.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/F-ikZQ6GjEa3Zyl4gkZ81KzaQzU=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FPistachio_cold_raf.png
Айс-Матча Юдзу в карамели," Ингредиенты:  Матча-латте Essence «Юдзу»: 20 г; Топпинг Pinch&Drop «Карамель»: 15 мл; Молоко: 150 мл.  Метод приготовления:  Поместить все ингредиенты в питчер; Прогреть пароотводной трубкой кофемашины не выше 60 °С; Хорошо перемешать барной ложкой, наполнить бокал кусковым льдом; Перелить напиток в бокал, украсить цедрой лайма.  Украшения: тертая цедра лайма Емкость для подачи: Хайбол «Нью-Йорк», Агсогос, стекло, 350 мл ",milkshake,1725212946_9428906.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/5nHCFu8YWVXQYup20taBMR_ltHU=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FIce-Matcha_Yuzu_in_caramel.png
