name,recipie,category,image_name,image_ext,image_url
'Luck Of The Irish' Frozen Lemonade,"3/4 oz. Monin Pistachio Syrup
3/4 oz. Monin Ginger Syrup
2 oz. fresh lemon sour mix

Fill serving glass full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657501_6166165.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/3/0/30b19db7-fa62-41d6-b86a-d420127af484-2.png
4Th Of July Picnic Refresher,"1 wedge(s) watermelon
ice
5 oz. green tea
1 oz. Monin Watermelon Syrup
2 oz. lemon-lime soda

Combine ingredients, except sparkling beverage  in serving glass.
Stir well to combine.
Top with sparkling beverage.
Garnish.",lemonade,1725657506_5769687.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/f/8/f8a41f98-4940-4794-ade1-0e6008aea306-2.png
Adult Key Lime Pie Lemonade,"ice
1 1/4 oz. citrus vodka
3/4 oz. Monin Key Lime Pie Syrup
4 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into mixing tin in order listed.
Add ice from serving glass.
Cap, shake and pour back into serving glass.
Add garnish and serve.",lemonade,1725657511_360125.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/e/4/e441cfa6-9023-4743-853f-b627181a1b47-2.png
After The Siesta Lemonade,"1 pinch(es) fresh cilantro
1 pinch(es) black pepper
3 oz. margarita mix
2 pump(s) Monin Jalapeño Concentrated Flavor
Fill with club soda

Fill serving glass full of ice.
Pour ingredients into mixing glass with 2/3 ice in order listed.
Cap, shake and strain into serving glass with ice.
Add garnish and serve.",lemonade,1725657516_4292703.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/f/8f9f1a56-eeaf-4e33-8e9d-a785f7deae13-2.png
Agave Limeade,"1/2 oz. Monin Agave Organic Nectar
3/4 oz. Monin Lime Syrup
1 oz. fresh lime juice
5 oz. lemon-lime soda
ice

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657521_6316235.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/3/c/3c96e8b5-7a55-4285-944f-9a43303c44a5-1.png
All American Spiked Lemonade,"1 1/2 oz. raspberry vodka
3/4 oz. Monin Blue Curacao Syrup
3 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657526_6603994.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/0/d/0d674b9f-34d3-4fd3-b902-879877a4dbcb-2.png
America The Blue Tiful,"1 1/2 oz. citrus vodka
3/4 oz. Monin Blue Curacao Syrup
1 oz. fresh lemon juice
Fill with club soda

Fill serving glass full of ice.
Pour ingredients into mixing glass with 2/3 ice in order listed.
Cap, shake and strain into serving glass with ice.
Add garnish and serve.",lemonade,1725657531_7316093.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/1/e/1ecefbf0-581c-476d-8675-8b95884ea9a6-2.png
Apple Pome Lemonade,"1 oz. pomegranate juice
1/2 oz. Monin Granny Smith Apple Purée
6 oz. lemonade base

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657536_5629044.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/4/6/46716e25-fecc-4c84-894a-33eda46c1167-2.png
Arcade Lemonade,"3/4 oz. Monin Blue Cotton Candy Syrup
ice
7 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657541_6486437.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/5/d5f5806e-e1b3-487b-9fbe-94bdd33eab23-2.png
Berry Melon Palmer,"1/2 oz. Monin Strawberry Syrup
2 pump(s) Monin Watermelon Concentrated Flavor
2 oz. iced tea
3 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657547_0015318.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/3/5/354271f9-ef13-42a7-9b5c-a4a8ee3ff451-2.png
